,x,y,z
0,0.00502047,0.0,-1.0
1,0.01004093,0.0,-1.0
2,0.0150614,0.0,-1.0
3,0.02008186,0.0,-1.0
4,0.02510233,0.0,-1.0
5,0.0301228,0.0,-1.0
6,0.03514326,0.0,-1.0
7,0.04016373,0.0,-1.0
8,0.04518419,0.0,-1.0
9,0.05020466,0.0,-1.0
10,0.05522513,0.0,-1.0
11,0.06024559,0.0,-1.0
12,0.06526606,0.0,-1.0
13,0.07028653,0.0,-1.0
14,0.07530699,0.0,-1.0
15,0.08032746,0.0,-1.0
16,0.08534792,0.0,-1.0
17,0.09036839,0.0,-1.0
18,0.09538886,0.0,-1.0
19,0.10040932,0.0,-1.0
20,0.10542979,0.0,-1.0
21,0.11045025,0.0,-1.0
22,0.11547072,0.0,-1.0
23,0.12049119,0.0,-1.0
24,0.12551165,0.0,-1.0
25,0.13053212,0.0,-1.0
26,0.13555258,0.0,-1.0
27,0.14057305,0.0,-1.0
28,0.14559352,0.0,-1.0
29,0.15061398,0.0,-1.0
30,0.15563445,0.0,-1.0
31,0.16065492,0.0,-1.0
32,0.16567538,0.0,-1.0
33,0.17069585,0.0,-1.0
34,0.17571631,0.0,-1.0
35,0.18073678,0.0,-1.0
36,0.18575725,0.0,-1.0
37,0.19077771,0.0,-1.0
38,0.19579818,0.0,-1.0
39,0.20081864,0.0,-1.0
40,0.20583911,0.0,-1.0
41,0.21085958,0.0,-1.0
42,0.21588004,0.0,-1.0
43,0.22090051,0.0,-1.0
44,0.22592097,0.0,-1.0
45,0.23094144,0.0,-1.0
46,0.23596191,0.0,-1.0
47,0.24098237,0.0,-1.0
48,0.24600284,0.0,-1.0
49,0.2510233,0.0,-1.0
50,0.25604377,0.0,-1.0
51,0.26106424,0.0,-1.0
52,0.2660847,0.0,-1.0
53,0.27110517,0.0,-1.0
54,0.27612564,0.0,-1.0
55,0.2811461,0.0,-1.0
56,0.28616657,0.0,-1.0
57,0.29118703,0.0,-1.0
58,0.2962075,0.0,-1.0
59,0.30122797,0.0,-1.0
60,0.30624843,0.0,-1.0
61,0.3112689,0.0,-1.0
62,0.31628936,0.0,-1.0
63,0.32130983,0.0,-1.0
64,0.3263303,0.0,-1.0
65,0.33135076,0.0,-1.0
66,0.33637123,0.0,-1.0
67,0.34139169,0.0,-1.0
68,0.34641216,0.0,-1.0
69,0.35143263,0.0,-1.0
70,0.35645309,0.0,-1.0
71,0.36147356,0.0,-1.0
72,0.36649403,0.0,-1.0
73,0.37151449,0.0,-1.0
74,0.37653496,0.0,-1.0
75,0.38155542,0.0,-1.0
76,0.38657589,0.0,-1.0
77,0.39159636,0.0,-1.0
78,0.39661682,0.0,-1.0
79,0.40163729,0.0,-1.0
80,0.40665775,0.0,-1.0
81,0.41167822,0.0,-1.0
82,0.41669869,0.0,-1.0
83,0.42171915,0.0,-1.0
84,0.42673962,0.0,-1.0
85,0.43176008,0.0,-1.0
86,0.43678055,0.0,-1.0
87,0.44180102,0.0,-1.0
88,0.44682148,0.0,-1.0
89,0.45184195,0.0,-1.0
90,0.45686241,0.0,-1.0
91,0.46188288,0.0,-1.0
92,0.46690335,0.0,-1.0
93,0.47192381,0.0,-1.0
94,0.47694428,0.0,-1.0
95,0.48196475,0.0,-1.0
96,0.48698521,0.0,-1.0
97,0.49200568,0.0,-1.0
98,0.49702614,0.0,-1.0
99,0.50204661,0.0,-1.0
100,0.50706708,0.0,-1.0
101,0.51208754,0.0,-1.0
102,0.51710801,0.0,-1.0
103,0.52212847,0.0,-1.0
104,0.52714894,0.0,-1.0
105,0.53216941,0.0,-1.0
106,0.53718987,0.0,-1.0
107,0.54221034,0.0,-1.0
108,0.5472308,0.0,-1.0
109,0.55225127,0.0,-1.0
110,0.55727174,0.0,-1.0
111,0.5622922,0.0,-1.0
112,0.56731267,0.0,-1.0
113,0.57233314,0.0,-1.0
114,0.5773536,0.0,-1.0
115,0.58237407,0.0,-1.0
116,0.58739453,0.0,-1.0
117,0.592415,0.0,-1.0
118,0.59743547,0.0,-1.0
119,0.60245593,0.0,-1.0
120,0.6074764,0.0,-1.0
121,0.61249686,0.0,-1.0
122,0.61751733,0.0,-1.0
123,0.6225378,0.0,-1.0
124,0.62755826,0.0,-1.0
125,0.63257873,0.0,-1.0
126,0.63759919,0.0,-1.0
127,0.64261966,0.0,-1.0
128,0.64764013,0.0,-1.0
129,0.65266059,0.0,-1.0
130,0.65768106,0.0,-1.0
131,0.66270152,0.0,-1.0
132,0.66772199,0.0,-1.0
133,0.67274246,0.0,-1.0
134,0.67776292,0.0,-1.0
135,0.68278339,0.0,-1.0
136,0.68780386,0.0,-1.0
137,0.69282432,0.0,-1.0
138,0.69784479,0.0,-1.0
139,0.70286525,0.0,-1.0
140,0.70788572,0.0,-1.0
141,0.71290619,0.0,-1.0
142,0.71792665,0.0,-1.0
143,0.72294712,0.0,-1.0
144,0.72796758,0.0,-1.0
145,0.73298805,0.0,-1.0
146,0.73800852,0.0,-1.0
147,0.74302898,0.0,-1.0
148,0.74804945,0.0,-1.0
149,0.75306991,0.0,-1.0
150,0.75809038,0.0,-1.0
151,0.76311085,0.0,-1.0
152,0.76813131,0.0,-1.0
153,0.77315178,0.0,-1.0
154,0.77817225,0.0,-1.0
155,0.78319271,0.0,-1.0
156,0.78821318,0.0,-1.0
157,0.79323364,0.0,-1.0
158,0.79825411,0.0,-1.0
159,0.80327458,0.0,-1.0
160,0.80829504,0.0,-1.0
161,0.81331551,0.0,-1.0
162,0.81833597,0.0,-1.0
163,0.82335644,0.0,-1.0
164,0.82837691,0.0,-1.0
165,0.83339737,0.0,-1.0
166,0.83841784,0.0,-1.0
167,0.8434383,0.0,-1.0
168,0.84845877,0.0,-1.0
169,0.85347924,0.0,-1.0
170,0.8584997,0.0,-1.0
171,0.86352017,0.0,-1.0
172,0.86854063,0.0,-1.0
173,0.8735611,0.0,-1.0
174,0.87858157,0.0,-1.0
175,0.88360203,0.0,-1.0
176,0.8886225,0.0,-1.0
177,0.89364297,0.0,-1.0
178,0.89866343,0.0,-1.0
179,0.9036839,0.0,-1.0
180,0.90870436,0.0,-1.0
181,0.91372483,0.0,-1.0
182,0.9187453,0.0,-1.0
183,0.92376576,0.0,-1.0
184,0.92878623,0.0,-1.0
185,0.93380669,0.0,-1.0
186,0.93882716,0.0,-1.0
187,0.94384763,0.0,-1.0
188,0.94886809,0.0,-1.0
189,0.95388856,0.0,-1.0
190,0.95890902,0.0,-1.0
191,0.96392949,0.0,-1.0
192,0.96894996,0.0,-1.0
193,0.97397042,0.00012593,-0.99987407
194,0.97899089,0.00836038,-0.99163962
195,0.98401136,0.0604988,-0.9395012
196,0.98903182,0.23801343,-0.76198657
197,0.99405229,0.59283706,-0.40716294
198,0.99907275,1.0294095,0.0294095
199,1.00409322,1.44122903,0.44122903
200,1.00911369,1.71968133,0.71968133
201,1.01413415,1.81672946,0.81672946
202,1.01915462,1.80999517,0.80999517
203,1.02417508,2.23149065,1.23149065
204,1.02919555,2.84835076,1.84835076
205,1.03421602,3.38998721,2.38998721
206,1.03923648,3.82035495,2.82035495
207,1.04425695,4.15767287,3.15767287
208,1.04927741,4.40764317,3.40764317
209,1.05429788,4.51375047,3.51375047
210,1.05931835,4.49251364,3.49251364
211,1.06433881,4.44035145,3.44035145
212,1.06935928,4.34404133,3.34404133
213,1.07437975,4.21436989,3.21436989
214,1.07940021,4.05585908,3.05585908
215,1.08442068,3.87930326,2.87930326
216,1.08944114,3.72554132,2.72554132
217,1.09446161,3.54572517,2.54572517
218,1.09948208,3.4091808,2.4091808
219,1.10450254,3.26227479,2.26227479
220,1.10952301,3.11397822,2.11397822
221,1.11454347,2.99525236,1.99525236
222,1.11956394,2.86165725,1.86165725
223,1.12458441,2.71656164,1.71656164
224,1.12960487,2.60322901,1.60322901
225,1.13462534,2.49328324,1.49328324
226,1.1396458,2.38649964,1.38649964
227,1.14466627,2.28927392,1.28927392
228,1.14968674,2.20165346,1.20165346
229,1.1547072,2.10494343,1.10494343
230,1.15972767,2.00510773,1.00510773
231,1.16474813,1.93654476,0.93654476
232,1.1697686,1.86309909,0.86309909
